id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus
,peponocephala-electra,Melon-headed Whale,Peponocephala electra,Mammals,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,stenella-attenuata,Pantropical Spotted Dolphin,Stenella attenuata,Mammals,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,stenella-coeruleoalba,Striped Dolphin,Stenella coeruleoalba,Mammals,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,delphinus-delphis,Common Dolphin,Delphinus delphis,Mammals,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,feresa-attenuata,Pygmy Killer Whale,Feresa attenuata,Mammals,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,tursiops-truncatus,Bottlenose Dolphin,Tursiops truncatus,Mammals,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,cisticola-juncidis-normani,Normanton Zitting Cisticola,Cisticola juncidis normani,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,phalacrocorax-carbo,Great Cormorant,Phalacrocorax carbo,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,phalacrocorax-carbo-novaehollandiae,Great Cormorant,Phalacrocorax carbo novaehollandiae,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,phalacrocorax-varius,Pied Cormorant,Phalacrocorax varius,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
